Set parameter Username
Academic license - for non-commercial use only - expires 2024-02-22
Warning: Gurobi version mismatch between Python 9.5.0 and C library 9.5.2
Set parameter TimeLimit to value 3600
Set parameter MIPGap to value 1e-06
Set parameter Threads to value 1
Gurobi Optimizer version 9.5.2 build v9.5.2rc0 (linux64)
Thread count: 4 physical cores, 4 logical processors, using up to 1 threads
Optimize a model with 4446 rows, 4342 columns and 18122 nonzeros
Model fingerprint: 0xbce764ef
Variable types: 4238 continuous, 104 integer (104 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [5e-01, 5e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [3e+01, 2e+02]
Presolve removed 129 rows and 76 columns
Presolve time: 0.03s
Presolved: 4317 rows, 4266 columns, 16714 nonzeros
Variable types: 4163 continuous, 103 integer (103 binary)
Found heuristic solution: objective 36427.000000

Root relaxation: objective 1.347927e+04, 3562 iterations, 0.17 seconds (0.19 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 13479.2718    0   82 36427.0000 13479.2718  63.0%     -    0s
H    0     0                    33544.989186 13479.2718  59.8%     -    0s
     0     0 14529.4859    0   82 33544.9892 14529.4859  56.7%     -    0s
H    0     0                    32636.378808 14529.4859  55.5%     -    0s
     0     0 14547.0148    0   82 32636.3788 14547.0148  55.4%     -    0s
     0     0 15185.3145    0   90 32636.3788 15185.3145  53.5%     -    0s
     0     0 15187.0089    0   90 32636.3788 15187.0089  53.5%     -    0s
     0     0 15350.7187    0   94 32636.3788 15350.7187  53.0%     -    0s
     0     0 15395.5608    0   96 32636.3788 15395.5608  52.8%     -    0s
     0     0 15402.6118    0   95 32636.3788 15402.6118  52.8%     -    0s
     0     0 15413.3499    0   97 32636.3788 15413.3499  52.8%     -    0s
     0     0 15413.8194    0   97 32636.3788 15413.8194  52.8%     -    0s
     0     0 15413.8214    0   97 32636.3788 15413.8214  52.8%     -    0s
     0     0 15487.9047    0   96 32636.3788 15487.9047  52.5%     -    0s
     0     0 15497.1628    0   96 32636.3788 15497.1628  52.5%     -    0s
     0     0 15498.2937    0   96 32636.3788 15498.2937  52.5%     -    0s
     0     0 15498.3179    0   96 32636.3788 15498.3179  52.5%     -    0s
     0     0 15521.2569    0   92 32636.3788 15521.2569  52.4%     -    0s
     0     0 15528.7554    0   91 32636.3788 15528.7554  52.4%     -    0s
     0     0 15528.9647    0   91 32636.3788 15528.9647  52.4%     -    0s
     0     0 15556.4670    0   96 32636.3788 15556.4670  52.3%     -    0s
H    0     0                    32438.673944 15556.4670  52.0%     -    0s
     0     0 15567.1213    0   92 32438.6739 15567.1213  52.0%     -    0s
     0     0 15569.8681    0   94 32438.6739 15569.8681  52.0%     -    0s
     0     0 15570.3593    0   95 32438.6739 15570.3593  52.0%     -    0s
     0     0 15610.4427    0   93 32438.6739 15610.4427  51.9%     -    0s
     0     0 15615.8281    0   96 32438.6739 15615.8281  51.9%     -    1s
     0     0 15617.6102    0   96 32438.6739 15617.6102  51.9%     -    1s
     0     0 15617.7441    0   97 32438.6739 15617.7441  51.9%     -    1s
     0     0 15623.2237    0   96 32438.6739 15623.2237  51.8%     -    1s
H    0     0                    32194.414492 15623.2237  51.5%     -    1s
     0     0 15627.7839    0   97 32194.4145 15627.7839  51.5%     -    1s
     0     0 15628.6995    0   97 32194.4145 15628.6995  51.5%     -    1s
     0     0 15628.9204    0   97 32194.4145 15628.9204  51.5%     -    1s
     0     0 15638.3232    0   94 32194.4145 15638.3232  51.4%     -    1s
     0     0 15640.4430    0   97 32194.4145 15640.4430  51.4%     -    1s
     0     0 15640.4616    0   97 32194.4145 15640.4616  51.4%     -    1s
     0     0 15647.6107    0   95 32194.4145 15647.6107  51.4%     -    1s
H    0     0                    32036.214517 15647.6107  51.2%     -    1s
     0     0 15648.2770    0   95 32036.2145 15648.2770  51.2%     -    1s
     0     0 15649.4984    0   96 32036.2145 15649.4984  51.2%     -    1s
     0     0 15649.5367    0   97 32036.2145 15649.5367  51.2%     -    1s
     0     0 15651.1966    0   97 32036.2145 15651.1966  51.1%     -    1s
     0     0 15651.1966    0   97 32036.2145 15651.1966  51.1%     -    2s
H    0     0                    24407.443624 15651.1966  35.9%     -    2s
H    0     0                    18649.687376 15651.1966  16.1%     -    2s
H    0     0                    18578.325696 15662.7631  15.7%     -    2s
H    0     0                    18520.743545 15662.7631  15.4%     -    2s
     0     2 15662.7631    0   97 18520.7435 15662.7631  15.4%     -    2s
H   26    26                    18515.991069 15677.9469  15.3%  34.2    2s
H   52    51                    18480.573704 15677.9469  15.2%  29.5    2s
H   54    53                    17702.500000 15677.9469  11.4%  29.4    2s
H  130   115                    17685.500000 15681.5519  11.3%  26.5    2s
H  156   141                    17561.500000 15681.5519  10.7%  25.5    2s
H  182   167                    17540.500000 15681.5519  10.6%  24.3    2s
H  235   198                    17308.000000 15686.6542  9.37%  24.1    2s
H  243   172                    17069.000000 15686.6542  8.10%  23.8    2s
H  268   193                    17030.500000 15686.6542  7.89%  23.1    3s
